carat,cut,color,clarity,depth,price
0.23,Ideal,E,SI2,61.5,326
0.21,Premium,E,SI1,59.8,326
0.23,Good,E,VS1,56.9,327
0.29,Premium,I,VS2,62.4,334
0.31,Good,J,SI2,63.3,335
0.24,Very Good,J,VVS2,62.8,336
0.24,Very Good,I,VVS1,62.3,336
0.26,Very Good,H,SI1,61.9,337
0.22,Fair,E,VS2,65.1,337
0.23,Very Good,H,VS1,59.4,338
0.3,Good,J,SI1,64,339
0.23,Ideal,J,VS1,62.8,340
0.22,Premium,F,SI1,60.4,342
0.31,Ideal,J,SI2,62.2,344
0.2,Premium,E,SI2,60.2,345
0.32,Premium,E,I1,60.9,345
0.3,Ideal,I,SI2,62,348
0.3,Good,J,SI1,63.4,351
0.3,Good,J,SI1,63.8,351
0.3,Very Good,J,SI1,62.7,351
0.3,Good,I,SI2,63.3,351
0.23,Very Good,E,VS2,63.8,352
0.23,Very Good,H,VS1,61,353
0.31,Very Good,J,SI1,59.4,353
0.31,Very Good,J,SI1,58.1,353
0.23,Very Good,G,VVS2,60.4,354
0.24,Premium,I,VS1,62.5,355
0.3,Very Good,J,VS2,62.2,357
0.23,Very Good,D,VS2,60.5,357
0.23,Very Good,F,VS1,60.9,357
0.23,Very Good,F,VS1,60,402
0.23,Very Good,F,VS1,59.8,402
0.23,Very Good,E,VS1,60.7,402
0.23,Very Good,E,VS1,59.5,402
0.23,Very Good,D,VS1,61.9,402
0.23,Good,F,VS1,58.2,402
0.23,Good,E,VS1,64.1,402
0.31,Good,H,SI1,64,402
0.26,Very Good,D,VS2,60.8,403
0.33,Ideal,I,SI2,61.8,403
0.33,Ideal,I,SI2,61.2,403
0.33,Ideal,J,SI1,61.1,403
0.26,Good,D,VS2,65.2,403
0.26,Good,D,VS1,58.4,403
0.32,Good,H,SI2,63.1,403
0.29,Premium,F,SI1,62.4,403
0.32,Very Good,H,SI2,61.8,403
0.32,Good,H,SI2,63.8,403
0.25,Very Good,E,VS2,63.3,404
0.29,Very Good,H,SI2,60.7,404
0.24,Very Good,F,SI1,60.9,404
0.23,Ideal,G,VS1,61.9,404
0.32,Ideal,I,SI1,60.9,404
0.22,Premium,E,VS2,61.6,404
0.22,Premium,D,VS2,59.3,404
0.3,Ideal,I,SI2,61,405
0.3,Premium,J,SI2,59.3,405
0.3,Very Good,I,SI1,62.6,405
0.3,Very Good,I,SI1,63,405
0.3,Good,I,SI1,63.2,405
0.35,Ideal,I,VS1,60.9,552
0.3,Premium,D,SI1,62.6,552
0.3,Ideal,D,SI1,62.5,552
0.3,Ideal,D,SI1,62.1,552
0.42,Premium,I,SI2,61.5,552
0.28,Ideal,G,VVS2,61.4,553
0.32,Ideal,I,VVS1,62,553
0.31,Very Good,G,SI1,63.3,553
0.31,Premium,G,SI1,61.8,553
0.24,Premium,E,VVS1,60.7,553
0.24,Very Good,D,VVS1,61.5,553
0.3,Very Good,H,SI1,63.1,554
0.3,Premium,H,SI1,62.9,554
0.3,Premium,H,SI1,62.5,554
0.3,Good,H,SI1,63.7,554
0.26,Very Good,F,VVS2,59.2,554
0.26,Very Good,E,VVS2,59.9,554
0.26,Very Good,D,VVS2,62.4,554
0.26,Very Good,D,VVS2,62.8,554
0.26,Very Good,E,VVS1,62.6,554
0.26,Very Good,E,VVS1,63.4,554
0.26,Very Good,D,VVS1,62.1,554
0.26,Ideal,E,VVS2,62.9,554
0.38,Ideal,I,SI2,61.6,554
0.26,Good,E,VVS1,57.9,554
0.24,Premium,G,VVS1,62.3,554
0.24,Premium,H,VVS1,61.2,554
0.24,Premium,H,VVS1,60.8,554
0.24,Premium,H,VVS2,60.7,554
0.32,Premium,I,SI1,62.9,554
0.7,Ideal,E,SI1,62.5,2757
0.86,Fair,E,SI2,55.1,2757
0.7,Ideal,G,VS2,61.6,2757
0.71,Very Good,E,VS2,62.4,2759
0.78,Very Good,G,SI2,63.8,2759
0.7,Good,E,VS2,57.5,2759
0.7,Good,F,VS1,59.4,2759
0.96,Fair,F,SI2,66.3,2759
0.73,Very Good,E,SI1,61.6,2760
0.8,Premium,H,SI1,61.5,2760
0.75,Very Good,D,SI1,63.2,2760
0.75,Premium,E,SI1,59.9,2760
0.74,Ideal,G,SI1,61.6,2760
0.75,Premium,G,VS2,61.7,2760
0.8,Ideal,I,VS1,62.9,2760
0.75,Ideal,G,SI1,62.2,2760
0.8,Premium,G,SI1,63,2760
